segment_length=2000,segment_step=200.0m,search_width=800m
x_atc_segment_middle,gt1l_veloc,gt1l_correlationValue,gt1r_veloc,gt1r_correlationValue,gt2l_veloc,gt2l_correlationValue,gt2r_veloc,gt2r_correlationValue,gt3l_veloc,gt3l_correlationValue,gt3r_veloc,gt3r_correlationValue
29171898.504,562.66,0.676,562.66,0.658,723.41,0.766,723.41,0.728,3215.18,0.677,-3215.18,0.715
29172098.504,nan,0.6,nan,0.559,1125.31,0.669,nan,0.649,-2652.52,0.716,-3215.18,0.771
29172298.504,nan,0.615,nan,0.574,nan,0.551,nan,0.557,-2732.9,0.765,-3215.18,0.799
29172498.504,321.52,0.713,241.14,0.665,nan,0.628,nan,0.642,-1768.35,0.806,-2009.48,0.817
29172698.504,321.52,0.815,321.52,0.774,-2572.14,0.733,-2491.76,0.741,-964.55,0.827,-1768.35,0.828
29172898.504,321.52,0.896,321.52,0.887,-1687.97,0.81,-1527.21,0.815,241.14,0.838,-884.17,0.839
29173098.504,321.52,0.936,321.52,0.942,-643.04,0.878,-643.04,0.889,241.14,0.856,321.52,0.846
29173298.504,401.9,0.894,401.9,0.9,-160.76,0.918,80.38,0.924,1125.31,0.856,562.66,0.85
29173498.504,643.04,0.79,643.04,0.779,321.52,0.93,321.52,0.933,2089.86,0.864,1366.45,0.859
29173698.504,nan,0.606,nan,0.624,321.52,0.917,723.41,0.923,2089.86,0.859,2170.24,0.854
29173898.504,nan,0.547,nan,0.562,884.17,0.893,1044.93,0.897,2893.66,0.86,2732.9,0.862
29174098.504,nan,0.5,nan,0.525,884.17,0.853,1366.45,0.855,3215.18,0.853,3215.18,0.872
29174298.504,nan,0.457,nan,0.47,884.17,0.821,1768.35,0.8,3215.18,0.833,3215.18,0.867
29174498.504,nan,0.472,nan,0.482,643.04,0.799,1125.31,0.774,3215.18,0.809,3215.18,0.85
29174698.504,nan,0.581,nan,0.581,1125.31,0.768,1205.69,0.763,3215.18,0.786,3215.18,0.846
29174898.504,-562.66,0.694,-562.66,0.682,1125.31,0.712,1768.35,0.709,3215.18,0.741,3215.18,0.844
29175098.504,-562.66,0.793,-241.14,0.792,nan,0.629,nan,0.614,nan,0.641,3215.18,0.807
29175298.504,-482.28,0.88,0.0,0.872,nan,0.549,nan,0.571,nan,0.457,3215.18,0.66
29175498.504,241.14,0.925,80.38,0.911,-3215.18,0.703,-3215.18,0.72,nan,0.475,nan,0.536
29175698.504,321.52,0.946,321.52,0.944,-3215.18,0.79,-3215.18,0.801,nan,0.518,nan,0.57
29175898.504,321.52,0.953,321.52,0.951,-3215.18,0.866,-3215.18,0.874,nan,0.583,nan,0.635
29176098.504,321.52,0.906,321.52,0.9,-3215.18,0.92,-3215.18,0.923,nan,0.586,nan,0.603
29176298.504,321.52,0.784,241.14,0.789,-3215.18,0.94,-3215.18,0.934,nan,0.571,nan,0.551
29176498.504,nan,0.625,nan,0.626,-3215.18,0.943,-3215.18,0.937,nan,0.577,nan,0.541
29176698.504,nan,0.476,nan,0.47,-3215.18,0.944,-3215.18,0.936,nan,0.611,nan,0.543
29176898.504,nan,0.356,nan,0.349,-3215.18,0.943,-3215.18,0.936,nan,0.587,nan,0.538
29177098.504,nan,0.38,nan,0.375,-3215.18,0.941,-3215.18,0.93,-3215.18,0.713,-3215.18,0.688
29177298.504,nan,0.553,nan,0.555,-3215.18,0.939,-3215.18,0.927,-3215.18,0.822,-3215.18,0.809
29177498.504,-1205.69,0.672,-1366.45,0.678,-3215.18,0.939,-3215.18,0.925,-3215.18,0.906,-3215.18,0.91
29177698.504,-964.55,0.739,-1044.93,0.75,-3215.18,0.937,-3215.18,0.918,-3215.18,0.911,-3215.18,0.916
29177898.504,-803.79,0.793,-884.17,0.799,-3215.18,0.919,-3215.18,0.901,-2411.38,0.847,-2652.52,0.86
29178098.504,-643.04,0.831,-643.04,0.833,-3134.8,0.895,-2491.76,0.876,-1607.59,0.835,-1527.21,0.849
29178298.504,-482.28,0.842,-562.66,0.848,-2331.0,0.878,-2009.48,0.859,-884.17,0.84,-1044.93,0.853
29178498.504,-482.28,0.844,-321.52,0.846,-1768.35,0.869,-1205.69,0.851,-562.66,0.844,-321.52,0.858
29178698.504,-643.04,0.845,-562.66,0.848,-1125.31,0.872,-1446.83,0.852,-643.04,0.843,-80.38,0.846
29178898.504,-964.55,0.853,-482.28,0.853,-1044.93,0.881,-803.79,0.863,-160.76,0.831,-241.14,0.826
29179098.504,-482.28,0.865,-241.14,0.865,-321.52,0.891,-160.76,0.873,-401.9,0.811,-241.14,0.793
29179298.504,241.14,0.869,80.38,0.87,321.52,0.896,401.9,0.879,-964.55,0.774,321.52,0.756
29179498.504,723.41,0.867,723.41,0.869,964.55,0.898,884.17,0.883,-3215.18,0.747,-3215.18,0.725
29179698.504,1286.07,0.867,1446.83,0.868,1286.07,0.895,1366.45,0.884,-3215.18,0.746,-3215.18,0.725
29179898.504,2331.0,0.868,2331.0,0.869,1687.97,0.894,2009.48,0.886,-3215.18,0.761,-3215.18,0.752
29180098.504,3215.18,0.874,3215.18,0.876,2411.38,0.9,2732.9,0.897,-3215.18,0.782,-3215.18,0.783
29180298.504,3215.18,0.876,3215.18,0.877,3134.8,0.915,3215.18,0.92,-3215.18,0.799,-3215.18,0.804
29180498.504,3215.18,0.861,3215.18,0.863,3215.18,0.934,3215.18,0.936,-3134.8,0.8,-2732.9,0.811
29180698.504,3215.18,0.838,3215.18,0.841,3215.18,0.943,3215.18,0.944,-2250.62,0.812,-1929.11,0.827
29180898.504,3215.18,0.799,3215.18,0.802,3215.18,0.944,3215.18,0.943,-1446.83,0.84,-1205.69,0.851
29181098.504,1125.31,0.77,1286.07,0.773,3215.18,0.945,3215.18,0.946,-803.79,0.872,-643.04,0.882
29181298.504,1286.07,0.751,1286.07,0.749,3215.18,0.946,3215.18,0.946,-321.52,0.896,-241.14,0.906
29181498.504,1768.35,0.702,1607.59,0.705,3215.18,0.946,3215.18,0.947,241.14,0.903,401.9,0.907
29181698.504,nan,0.604,nan,0.596,3215.18,0.935,3215.18,0.94,723.41,0.892,562.66,0.89
29181898.504,nan,0.437,nan,0.419,3215.18,0.914,3215.18,0.909,964.55,0.867,1125.31,0.863
29182098.504,nan,0.472,nan,0.459,3215.18,0.889,3215.18,0.873,1607.59,0.833,1527.21,0.823
29182298.504,nan,0.591,nan,0.571,3215.18,0.832,3215.18,0.806,1929.11,0.802,2009.48,0.787
29182498.504,321.52,0.75,321.52,0.733,3215.18,0.761,3215.18,0.722,2732.9,0.772,2813.28,0.755
29182698.504,321.52,0.863,321.52,0.865,2974.04,0.681,nan,0.585,3215.18,0.748,3215.18,0.725
29182898.504,321.52,0.905,321.52,0.899,nan,0.531,nan,0.38,3215.18,0.711,3215.18,0.689
29183098.504,643.04,0.782,562.66,0.786,nan,0.377,nan,0.472,3215.18,0.67,3215.18,0.654
29183298.504,nan,0.497,nan,0.5,nan,0.479,nan,0.627,-160.76,0.669,-482.28,0.681
29183498.504,nan,0.313,nan,0.304,nan,0.641,-3215.18,0.721,-2893.66,0.703,-80.38,0.723
29183698.504,nan,0.261,nan,0.258,-3215.18,0.732,-3215.18,0.783,-1607.59,0.748,0.0,0.765
29183898.504,nan,0.277,nan,0.261,-3215.18,0.8,-3215.18,0.843,-884.17,0.79,-562.66,0.804
29184098.504,nan,0.528,nan,0.546,-3215.18,0.86,-3215.18,0.891,-562.66,0.823,-241.14,0.838
29184298.504,-1044.93,0.696,-1044.93,0.685,-3215.18,0.901,-3215.18,0.912,-160.76,0.842,321.52,0.853
29184498.504,-482.28,0.777,-482.28,0.774,-3215.18,0.912,-3215.18,0.92,401.9,0.843,562.66,0.853
29184698.504,-321.52,0.837,-160.76,0.83,-3215.18,0.914,-3215.18,0.914,964.55,0.83,1205.69,0.844
29184898.504,0.0,0.888,-160.76,0.883,-3215.18,0.908,-3215.18,0.908,1929.11,0.818,2009.48,0.833
29185098.504,0.0,0.926,0.0,0.926,-3215.18,0.897,-3215.18,0.907,2813.28,0.812,2974.04,0.836
29185298.504,0.0,0.954,80.38,0.954,-3215.18,0.893,-3215.18,0.908,3215.18,0.822,3215.18,0.85
29185498.504,241.14,0.977,80.38,0.978,-3215.18,0.881,-3215.18,0.903,3215.18,0.825,3215.18,0.855
29185698.504,321.52,0.989,321.52,0.991,-3215.18,0.864,-3215.18,0.894,3215.18,0.815,3215.18,0.843
29185898.504,321.52,0.984,321.52,0.988,-3215.18,0.852,-3215.18,0.882,3215.18,0.797,3215.18,0.823
